protocol,train_knots,test_knots,train_count,test_count,model,mae,median_ape_pct,r2,rmse,subset,case,model_label
hold_6_alt,"5,20,30,40,50,60","10,15,25,35,45,55",612,612,B0-Global-H-Linear,0.013934667628816125,1.5573375001995087,0.800714914159551,0.017738034293698222,Low amplitude,Case 1,B0
hold_6_alt,"5,20,30,40,50,60","10,15,25,35,45,55",612,612,B1-Global-HS-Linear,0.013813274191265079,1.522489141927935,0.8038985494030906,0.01759577882251801,Low amplitude,Case 1,B1
hold_6_alt,"5,20,30,40,50,60","10,15,25,35,45,55",612,612,B2-Global-H-Poly,0.013843128509399939,1.527033567666038,0.8093650120860778,0.017348798256642557,Low amplitude,Case 1,B2
hold_6_alt,"5,20,30,40,50,60","10,15,25,35,45,55",612,612,B3-Global-HS-Poly,0.0138602239100809,1.4844822044112882,0.8085382301500438,0.017386378332343896,Low amplitude,Case 1,B3
hold_6_alt,"5,20,30,40,50,60","10,15,25,35,45,55",612,612,B4-Discrete-Local,0.015257942798764036,1.7428194244093866,0.7714006805128681,0.018997898270159776,Low amplitude,Case 1,B4
hold_6_alt,"5,20,30,40,50,60","10,15,25,35,45,55",612,612,Ours,0.013264704663629162,1.4885489322403826,0.8263589652736526,0.016557481319698177,Low amplitude,Case 1,Ours
hold_7_dense,"5,15,30,45,60","10,20,25,35,40,50,55",510,714,B0-Global-H-Linear,0.014317141274321259,1.5411271896923706,0.7945452038574519,0.01801051921908446,Low amplitude,Case 2,B0
hold_7_dense,"5,15,30,45,60","10,20,25,35,40,50,55",510,714,B1-Global-HS-Linear,0.014176072258070318,1.534372986141105,0.7973617166039382,0.017886643044567514,Low amplitude,Case 2,B1
hold_7_dense,"5,15,30,45,60","10,20,25,35,40,50,55",510,714,B2-Global-H-Poly,0.013879941597436685,1.5193878194383106,0.8122941574477076,0.01721499839465737,Low amplitude,Case 2,B2
hold_7_dense,"5,15,30,45,60","10,20,25,35,40,50,55",510,714,B3-Global-HS-Poly,0.013665692202460038,1.500495933658302,0.8157026469809078,0.017057981537463116,Low amplitude,Case 2,B3
hold_7_dense,"5,15,30,45,60","10,20,25,35,40,50,55",510,714,B4-Discrete-Local,0.015376363446046511,1.6703417929739768,0.7651547597184234,0.019255684985391472,Low amplitude,Case 2,B4
hold_7_dense,"5,15,30,45,60","10,20,25,35,40,50,55",510,714,Ours,0.01318351450473244,1.5100702873385357,0.8287696394167692,0.016442145111742443,Low amplitude,Case 2,Ours
hold_8_dense,"5,30,45,60","10,15,20,25,35,40,50,55",408,816,B0-Global-H-Linear,0.014263760765897696,1.5744989216542031,0.7959857305393657,0.017947268637473895,Low amplitude,Case 3,B0
